Vernier Format 2,
187_a3.txt 7/28/119 3:10:43,
Run 1,
Wavelength,Intensity
W,I
nm,rel
,
739.9,0.016
740.8,0.016
741.6,0.016
742.4,0.016
743.2,0.016
744,0.016
744.9,0.016
745.7,0.015
746.5,0.016
747.3,0.016
748.1,0.016
748.9,0.016
749.8,0.016
750.6,0.016
751.4,0.016
752.2,0.016
753,0.016
753.9,0.016
754.7,0.016
755.5,0.016
756.3,0.016
757.1,0.016
758,0.016
758.8,0.016
759.6,0.015
760.4,0.016
761.2,0.016
762.1,0.016
762.9,0.016
763.7,0.016
764.5,0.016
765.3,0.016
766.2,0.016
767,0.017
767.8,0.016
768.6,0.016
769.4,0.016
770.3,0.016
771.1,0.016
771.9,0.015
772.7,0.015
773.5,0.015
774.4,0.015
775.2,0.016
776,0.016
776.8,0.017
777.6,0.017
778.5,0.016
779.3,0.016
780.1,0.016
780.9,0.016
781.7,0.016
782.6,0.016
783.4,0.016
784.2,0.016
785,0.016
785.8,0.016
786.7,0.016
787.5,0.016
788.3,0.016
789.1,0.016
789.9,0.016
790.7,0.016
791.6,0.016
792.4,0.016
793.2,0.016
794,0.016
794.8,0.017
795.7,0.016
796.5,0.016
797.3,0.016
798.1,0.016
798.9,0.016
799.8,0.015
800.6,0.015
801.4,0.015
802.2,0.015
803,0.016
803.9,0.016
804.7,0.016
805.5,0.015
806.3,0.016
807.1,0.016
808,0.016
808.8,0.016
809.6,0.015
810.4,0.015
811.2,0.015
812.1,0.016
812.9,0.016
813.7,0.015
814.5,0.015
815.3,0.015
816.2,0.016
817,0.016
817.8,0.016
818.6,0.016
819.4,0.016
820.3,0.015
821.1,0.015
821.9,0.016
822.7,0.016
823.5,0.016
824.4,0.016
825.2,0.016
826,0.016
826.8,0.016
827.6,0.016
828.5,0.016
829.3,0.016
830.1,0.016
830.9,0.016
831.7,0.015
832.6,0.015
833.5,0.016
834.4,0.016
835.3,0.016
836.1,0.016
837,0.016
837.9,0.016
838.8,0.015
839.7,0.016
840.6,0.015
841.5,0.016
842.4,0.015
843.3,0.015
844.1,0.015
845,0.015
845.9,0.015
846.8,0.015
847.7,0.015
848.6,0.015
849.5,0.016
850.4,0.015
851.3,0.015
852.1,0.015
853,0.015
853.9,0.015
854.8,0.015
855.7,0.015
856.6,0.015
857.5,0.015
858.4,0.015
859.3,0.015
860.1,0.016
861,0.016
861.9,0.016
862.8,0.015
863.7,0.015
864.6,0.015
865.5,0.016
866.4,0.017
867.3,0.016
868.1,0.016
869,0.016
869.9,0.016
870.8,0.015
871.7,0.016
872.6,0.015
873.5,0.015
874.4,0.015
875.3,0.015
876.1,0.015
877,0.015
877.9,0.016
878.8,0.016
879.7,0.016
880.6,0.015
881.5,0.015
882.4,0.015
883.3,0.015
884.1,0.015
885,0.015
885.9,0.015
886.8,0.015
887.7,0.016
888.6,0.015
889.5,0.015
890.4,0.015
891.3,0.016
892.1,0.015
893,0.015
893.9,0.016
894.8,0.016
895.7,0.016
896.6,0.015
897.5,0.015
898.4,0.016
899.3,0.016
Vernier Format 2,
187_a3.txt 7/28/119 3:10:58,
Run 3,
Wavelength,Intensity
W,I
nm,rel
,
380.5,0.016
381.3,0.016
382.2,0.016
383,0.015
383.9,0.015
384.7,0.016
385.6,0.016
386.4,0.016
387.3,0.016
388.1,0.016
388.9,0.016
389.8,0.016
390.6,0.016
391.5,0.015
392.3,0.015
393.2,0.015
394,0.016
394.9,0.016
395.7,0.016
396.6,0.016
397.4,0.016
398.3,0.016
399.1,0.016
400,0.016
400.8,0.016
401.6,0.016
402.5,0.016
403.3,0.016
404.2,0.016
405,0.015
405.9,0.016
406.7,0.016
407.6,0.017
408.4,0.017
